# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1876
#@/user_id	b27ec516-66b5-4d3a-8381-90fbb5a546e0
a1 	啊	c=1 d=1.16141 t=1786
a1 	阿	c=0 d=0.20146 t=1658
a1 yi2 	阿姨	c=1 d=1.06188 t=455
ai1 	哎	c=2 d=1.08937 t=1742
ai4 	愛	c=0 d=0.1 t=621
ai4 wo3 	愛我	c=0 d=0.1 t=623
an1 	安	c=0 d=0.1 t=1708
an1 zhuang1 	安裝	c=0 d=0.127594 t=1568
an1 zhuang1 de5 	安裝的	c=1 d=1 t=1115
an1 zhuang1 de5 qian2 ban4 bu4 fen4 	安裝的前半部份	c=1 d=1 t=1111
an1 zhuang1 hao3 	安裝好	c=1 d=1 t=1041
ba1 jin4 wei4 	八進位	c=3 d=2.82876 t=429
ba1 jin4 wei4 shu4 zi4 	八進位數字	c=1 d=1.09005 t=401
ba1 yue4 	八月	c=0 d=0.1 t=239
ba3 	把	c=5 d=0.465523 t=1806
ba3 ni3 	把你	c=0 d=0.178663 t=1204
ba3 ni3 bi1 	把你逼	c=1 d=1 t=1205
ba3 ta1 	把它	c=1 d=1 t=1623
ba3 tong3 ji4 xue2 hao3 	把統計學好	c=1 d=1 t=1314
ba3 zhe4 ge5 wang3 zhan4 shang4 mian4 de5 	把這個網站上面的	c=1 d=1 t=1129
ba5 	吧	c=1 d=1.15863 t=1700
bai2 mu4 	白目	c=1 d=1 t=1723
bai4 	拜	c=0 d=0.125795 t=1232
ban1 	班	c=0 d=0.1 t=141
ban1 	般	c=0 d=0.1 t=593
ban1 ci4 	班次	c=0 d=0.1 t=1691
ban4 fa3 	辦法	c=1 d=0.271132 t=1482
ban4 wan2 	辦完	c=1 d=1 t=497
ban4 ye4 	半夜	c=1 d=1 t=286
bang1 	幫	c=1 d=1.07827 t=1702
bang1 bang1 	幫幫	c=0 d=0.1 t=1763
bang1 bang1 ta1 le5 	幫幫他了	c=1 d=1 t=1764
bang1 mang2 	幫忙	c=0 d=0.1 t=787
bang1 ni3 	幫你	c=1 d=1.00978 t=1614
bang1 wo3 	幫我	c=0 d=0.1 t=77
bang1 zhu4 	幫助	c=0 d=0.1 t=1316
bang1 zhu4 o1 	幫助噢	c=1 d=1 t=1317
bang4 	棒	c=0 d=0.1 t=1600
bang4 bang4 	棒棒	c=3 d=1.3778 t=701
bang4 de5 shi4 qing2 	棒的事情	c=1 d=1 t=1601
bao1 rong2 	包容	c=0 d=0.1 t=374
bao3 chi2 	保持	c=0 d=0.0923116 t=1876
bao3 chi2 xi1 wang4 	保持希望	c=1 d=0.927743 t=1876
bao3 hu4 	保護	c=0 d=0.1 t=170
bao4 	爆	c=1 d=1 t=439
bao4 bao4 	抱抱	c=0 d=0.1 t=1379
bei4 	被	c=0 d=0.1 t=170
bei4 bao3 hu4 de5 hen3 hao3 	被保護得很好	c=1 d=1 t=171
bei4 jing3 	背景	c=1 d=1.07596 t=262
bei4 jing3 zhi1 shi4 	背景知識	c=2 d=1.08208 t=708
beng1 kui4 	崩潰	c=0 d=0.1 t=1748
bi1 	逼	c=0 d=0.1 t=1204
bi3 dian4 	筆電	c=2 d=1.2592 t=1821
bi3 jiao4 	比較	c=2 d=0.214856 t=1650
bi3 jiao4 duo1 	比較多	c=0 d=0.1 t=257
bi3 jiao4 duo1 zai4 xiang3 	比較多在想	c=1 d=1 t=258
bi3 jiao4 hao3 	比較好	c=1 d=1 t=680
bi3 jiao4 shao3 jiang3 	比較少講	c=1 d=1 t=254
bi3 jiao4 tui1 jian4 de5 	比較推薦的	c=1 d=1 t=1370
bi3 jiao4 xiang4 shi4 	比較像是	c=1 d=1 t=1651
bi4 ye4 	畢業	c=0 d=0.1 t=238
bian1 	邊	c=1 d=0.111543 t=1370
bian1 jiang3 	邊講	c=0 d=0.1 t=237
bian1 jiang3 bian1 xiao4 zhe4 yi1 dian3 	邊講邊笑這一點	c=1 d=1 t=238
bian4 	便	c=1 d=1.099 t=1626
bian4 	變	c=1 d=1 t=1627
bian4 cheng2 	變成	c=0 d=0.1 t=417
bian4 hong2 se4 	便紅色	c=1 d=1 t=1625
bian4 liang4 	變量	c=0 d=0.1 t=1333
biao3 shu4 	表述	c=0 d=0.1 t=1740
biao3 yan3 	表演	c=0 d=0.1 t=179
bie2 ren2 de5 	別人的	c=0 d=0.1 t=1033
bing1 	兵	c=1 d=1 t=305
bing1 le5 	冰了	c=0 d=0.1 t=303
bing1 yi4 	兵役	c=1 d=1 t=1220
bo2 	薄	c=1 d=1 t=1276
bo2 shi4 	博士	c=0 d=0.1 t=799
bo2 shi4 de5 	博士的	c=1 d=1 t=800
bo2 yi4 	博弈	c=0 d=0.1 t=412
bu2 	不	c=0 d=0.102651 t=1646
bu2 cuo4 	不錯	c=1 d=1 t=645
bu2 cuo4 bu2 cuo4 	不錯不錯	c=1 d=1 t=632
bu2 guo4 	不過	c=4 d=0.557943 t=1710
bu2 guo4 ni3 yao4 xian1 han4 ni3 ma1 jiang3 hao3 	不過你要先和你媽講好	c=1 d=1 t=491
bu2 guo4 wo3 nv3 peng2 you3 ying1 gai1 hui4 zhun3 shi2 dao4 	不過我女朋友應該會準時到	c=1 d=1 t=1711
bu2 guo4 xi1 wang4 shi4 	不過希望是	c=1 d=1 t=741
bu2 guo4 zhen1 de5 jue2 de5 	不過真的覺得	c=1 d=1 t=529
bu2 hui4 	不會	c=1 d=0.105491 t=1632
bu2 hui4 dao4 	不會到	c=1 d=1 t=1014
bu2 jian4 	不見	c=0 d=0.1 t=213
bu2 shi4 	不是	c=4 d=2.00631 t=1870
bu2 tai4 gou4 	不太夠	c=1 d=1 t=1301
bu2 tai4 que4 ding4 	不太確定	c=1 d=1.07531 t=847
bu2 yao4 	不要	c=1 d=1.05609 t=506
bu2 zai4 le5 	不在了	c=0 d=0.1 t=1541
bu3 xi2 ban1 	補習班	c=0 d=0.1 t=358
bu3 xi2 ban1 dang1 zhu4 jiao4 wang4 le5 	補習班當助教忘了	c=1 d=1 t=359
bu4 	不	c=1 d=1.00002 t=1721
bu4 	部	c=2 d=0.668687 t=1571
bu4 cuo4 a1 	不錯啊	c=0 d=0.1 t=1167
bu4 dao4 suo3 	佈道所	c=0 d=0.1 t=1380
bu4 duo1 	不多	c=0 d=0.100799 t=1382
bu4 fen4 	部分	c=0 d=0.1 t=258
bu4 hao3 	不好	c=0 d=0.192312 t=369
bu4 hao3 yi4 si1 zhe4 me5 wan3 cai2 jiang3 	不好意思這麼晚纔講	c=1 d=1 t=354
bu4 jiu3 	不久	c=0 d=0.1 t=1768
bu4 jiu3 zhi1 hou4 	不久之後	c=1 d=1 t=1769
bu4 ke3 neng2 	不可能	c=0 d=0.1 t=42
bu4 qi3 	不起	c=0 d=0.1 t=1873
bu4 qi3 lai2 	不起來	c=0 d=0.1 t=1551
bu4 xiang3 	不想	c=1 d=1 t=1190
bu4 xiao3 	不小	c=0 d=0.1 t=1085
bu4 xing2 	不行	c=1 d=0.419895 t=1660
bu4 xing2 lai2 wo3 men5 jia1 	不行來我們加	c=1 d=1 t=1661
bu4 zhi1 dao4 	不知道	c=6 d=1.52223 t=1844
bu4 zhi1 dao4 ke3 bu4 ke3 yi3 wu4 ni3 	不知道可不可以物你	c=1 d=1 t=1461
bu4 zhi1 dao4 wei4 shen2 me5 	不知道爲什麼	c=1 d=1 t=1208
cai2 	才	c=1 d=0.487509 t=572
cai2 gang1 	纔剛	c=1 d=1 t=1092
cai2 han4 ni3 	才和你	c=1 d=1 t=573
cai2 jiang3 	纔講	c=0 d=0.1 t=353
cai4 	菜	c=1 d=1 t=425
cai4 lun2 	蔡倫	c=1 d=1 t=295
can1 jia1 	參加	c=0 d=0.1 t=546
can3 can3 	慘慘	c=0 d=0.1 t=467
can3 can3 de5 	慘慘的	c=1 d=1 t=468
ce4 shi4 	測試	c=1 d=1 t=1529
ce4 yan4 jie2 guo3 	測驗結果	c=0 d=0.1 t=1213
ce4 yan4 jie2 guo3 shi4 shen2 me5 a1 	測驗結果是什麼阿	c=1 d=1 t=1214
ceng2 ceng2 	層層	c=1 d=1 t=1744
ceng4 fan4 	蹭飯	c=1 d=1.07531 t=97
ceng4 fan4 chi1 ma5 	蹭飯吃嗎	c=1 d=1 t=98
cha1 	差	c=0 d=0.200086 t=1382
cha1 bu4 duo1 kuai4 	差不多塊	c=1 d=1 t=1383
cha1 shou3 	插手	c=0 d=0.1 t=176
cha1 zhe5 	插着	c=1 d=1 t=1834
cha2 zi4 dian3 	查字典	c=1 d=1 t=1083
chan3 sheng1 	產生	c=0 d=0.123575 t=1070
chan3 sheng1 de5 	產生的	c=1 d=1 t=1071
chan3 sheng1 de5 jie2 guo3 	產生的結果	c=1 d=1 t=782
chang2 shi4 	嘗試	c=1 d=1 t=774
chang2 xiu4 	長袖	c=0 d=0.1 t=485
chang2 xiu4 nei4 yi1 	長袖內衣	c=1 d=1 t=486
chang2 you3 	常有	c=0 d=0.1 t=162
chao1 	超	c=0 d=0.10037 t=1269
chao1 duo1 	超多	c=2 d=2.00386 t=642
chao1 ji2 	超級	c=0 d=0.1 t=103
chao1 ji2 qiang2 xiao4 	超級強校	c=1 d=1 t=104
chao1 qiang2 	超強	c=1 d=1 t=1720
chao1 wu4 	超霧	c=1 d=1 t=1105
chao1 xiao3 	超小	c=1 d=1 t=1079
chao1 zan4 	超讚	c=1 d=1 t=101
che1 	車	c=0 d=0.1 t=1516
che1 shang4 	車上	c=0 d=0.1 t=1376
cheng2 	成	c=1 d=1.00354 t=1065
cheng2 pin3 	成品	c=0 d=0.1 t=691
cheng2 yi4 	誠意	c=0 d=0.1 t=1248
chi1 	吃	c=2 d=1.35576 t=203
chi1 fan4 	吃飯	c=1 d=0.135915 t=985
chi1 nai3 zi5 	吃奶子	c=2 d=0.105041 t=1506
chi2 dao4 	遲到	c=0 d=0.1 t=1695
chi2 xu4 	持續	c=0 d=0.1 t=553
chi2 xu4 le5 	持續了	c=1 d=1 t=554
chi4 	赤	c=2 d=1.68045 t=392
chong1 	衝	c=0 d=0.1 t=409
chong2 fu4 	重複	c=0 d=0.1 t=1595
chong2 kao3 	重考	c=2 d=1.88692 t=888
chong2 xie3 	重寫	c=0 d=0.1 t=1095
chong2 zhuang1 	重裝	c=0 d=0.1 t=1092
